CNL_Z,Density_0108,GR_Z,P-wave_0108,S-wave_0108
27.3466,2.5006,65.6086,98.1652,171.8299
27.3676,2.4872,73.6836,99.8922,172.7099
26.7099,2.4805,79.7406,100.6436,171.9471
25.5214,2.4827,81.8387,100.3676,170.4962
24.0629,2.4917,79.3916,99.1926,168.6471
22.6953,2.5017,73.6203,97.3394,166.6194
21.6901,2.5118,67.7383,95.2947,164.5598
21.167,2.5163,63.5179,93.366,163.1512
21.1232,2.5174,61.5083,91.7809,162.4477
21.4857,2.5174,61.2015,90.7411,161.9078
22.0283,2.5174,61.4261,90.2059,161.3906
22.6053,2.5185,61.9069,90.153,160.751
23.0931,2.5196,62.6902,90.5372,159.9821
23.3757,2.5208,63.7382,91.3055,160.1631
23.4649,2.5219,64.4794,92.2383,161.5213
23.4186,2.5208,64.4942,93.1362,164.1165
23.3606,2.5163,64.0155,93.7693,167.8313
23.4859,2.5085,64.4193,93.8031,172.9038
23.8745,2.4939,66.9317,93.1384,178.1685
24.4969,2.4726,71.8617,91.7268,181.1124
25.2051,2.4491,78.254,89.6404,182.1141
25.7132,2.4256,84.1202,87.047,180.9654
25.8074,2.4066,87.9832,84.3478,177.5598
25.3784,2.3999,89.1103,81.8434,170.2302
24.433,2.4066,87.2336,79.7637,162.2458
23.0855,2.4268,82.1149,78.3184,155.0319
21.6674,2.4581,74.9572,77.3934,148.9709
20.4419,2.495,67.1278,76.8876,144.4731
19.6042,2.5297,60.182,76.6837,141.938
19.2761,2.5577,55.5641,76.7141,141.663
19.2829,2.5745,53.0517,76.9101,142.5376
19.4646,2.5778,51.9098,77.2819,143.7493
19.6824,2.5734,51.4586,77.8632,145.151
19.8691,2.5622,51.4723,78.7341,146.6917
20.0559,2.5487,51.8983,79.8539,148.7338
20.3082,2.5342,52.8229,81.1551,150.7582
20.6951,2.5208,54.1945,82.4901,152.5004
21.2755,2.5096,55.8962,83.6054,154.0426
21.982,2.5029,57.9732,84.3647,155.3833
22.7188,2.5029,60.4551,84.7691,156.6361
23.3673,2.5118,62.8178,84.9809,158.5071
23.8123,2.5286,63.5811,85.3166,160.7342
24.0924,2.5487,62.3845,86.0252,163.7422
24.3195,2.5633,60.3929,87.2273,167.4282
24.6509,2.5633,59.7476,88.9453,171.604
25.2708,2.5454,62.4678,91.203,176.6598
26.1892,2.514,66.9686,93.829,180.9527
27.355,2.4771,70.7715,96.6702,183.5148
28.6571,2.4469,72.3541,99.5024,184.9812
29.9515,2.4279,72.6725,101.9876,185.3889
31.1114,2.42,74.4016,103.9558,184.9184
32.0341,2.4167,78.6821,105.3392,183.4401
32.6322,2.4144,84.6864,106.1638,181.7765
32.7693,2.41,89.8051,106.4094,179.6364
32.4564,2.4066,91.8452,106.1931,176.8205
31.675,2.41,90.3449,105.533,173.2603
30.4486,2.4223,86.095,104.4774,168.4873
28.8379,2.4413,80.506,103.1142,163.23
27.0976,2.4637,75.4021,101.6485,159.4379
25.4583,2.4861,72.043,100.1953,156.6092
24.1294,2.504,71.2618,98.8152,154.7363
23.2891,2.5163,73.1068,97.5275,153.7874
22.8307,2.5219,75.8038,96.3322,153.5723
22.6196,2.5252,77.8797,95.2857,153.7712
22.5035,2.5252,77.8291,94.4971,154.0437
22.3714,2.5241,74.6398,94.1816,154.405
22.2184,2.5219,69.6972,94.3855,154.9552
22.1141,2.5163,64.3371,95.1302,156.0271
22.1595,2.5096,59.8826,96.3615,158.5783
22.4875,2.5006,57.6316,96.3615,161.7618
23.0982,2.4917,57.5009,97.9928,165.3099
23.967,2.4827,58.9369,99.7874,168.6992
25.0218,2.4749,61.153,101.5809,171.5373
26.1556,2.4693,63.7835,103.2066,173.3155
27.2289,2.4637,66.5269,104.4233,173.2689
28.1255,2.4592,68.994,105.1218,172.2244
28.7319,2.457,70.644,105.1961,170.4186
28.8808,2.457,70.5544,104.5855,168.0536
28.5662,2.4603,68.8031,103.2043,165.1371
27.784,2.4715,65.8743,101.2633,161.7061
26.5888,2.4861,62.4414,98.9234,159.4349
25.0882,2.5029,59.2879,96.401,157.6998
23.5322,2.5185,57.0423,93.9811,156.4422
22.1267,2.5297,56.0449,91.8947,155.6493
21.0593,2.5353,56.4149,90.2837,155.2174
20.5201,2.5375,57.7971,89.2078,155.3624
20.4419,2.5375,59.0497,88.7617,156.3041
20.7388,2.5364,59.6496,88.8563,158.206
21.2872,2.5342,59.6369,89.5232,161.1898
21.9845,2.532,59.4029,90.8075,165.2151
22.7558,2.5264,59.3375,92.8151,171.1774
23.6154,2.5152,59.5726,95.369,175.5074
24.6029,2.495,60.2252,98.3297,179.0463
25.7628,2.4682,61.4177,101.5021,181.6616
27.0253,2.4368,63.0223,104.59,183.3611
28.2769,2.4066,64.8305,107.2611,184.0388
29.3569,2.3842,66.4731,109.1831,183.0169
30.0163,2.3719,67.907,110.0584,180.6259
30.1669,2.3697,69.3408,109.5278,177.0455
29.7657,2.3764,70.5449,107.8605,172.6091
28.8707,2.3898,70.8369,105.3088,167.5762
27.6074,2.4066,69.2206,102.2017,161.8485
26.2448,2.4268,65.9997,98.8851,158.6409
24.9503,2.448,62.0534,95.689,156.737
23.8325,2.4682,58.5257,92.8095,155.7645
22.9451,2.4861,56.4265,90.3862,155.4423
22.2125,2.5006,55.2151,88.578,155.4181
21.5673,2.5107,54.0891,87.2791,155.356
20.9542,2.5185,52.5804,86.4207,155.2426
20.3645,2.523,50.807,85.9182,155.1859
19.8565,2.5241,49.4891,85.7684,155.3019
19.5344,2.5241,49.3531,85.9261,155.703
19.5184,2.523,50.8998,86.4387,156.8582
19.9532,2.5208,54.2958,87.3647,158.2042
20.7817,2.5174,58.3538,88.8011,159.1235
21.9256,2.5096,61.9016,90.5969,159.3697
23.2411,2.4973,63.9638,92.5357,158.7349
24.4843,2.4838,64.6249,94.2481,157.0092
25.3936,2.4693,65.346,95.0896,153.9025
25.7451,2.4592,66.451,94.7156,150.8946
25.3835,2.4603,66.6935,92.9345,147.9499
24.1899,2.476,63.1172,89.8522,145.4048
22.4505,2.5096,55.0517,85.8788,143.7661
20.4604,2.5566,43.9529,81.9651,144.2222
18.6167,2.6047,33.2485,78.9121,147.5938
17.5157,2.6383,27.6437,77.3878,152.2334
17.4577,2.6472,28.1941,78.0345,157.2742
18.5427,2.626,34.3924,80.3721,162.1311
20.5664,2.5868,44.4147,83.8419,166.0943
23.0208,2.5431,55.3596,87.679,168.2101
25.1723,2.5085,64.0503,90.9438,167.6429
26.556,2.4928,68.7863,93.1159,165.8577
26.942,2.4961,69.46,94.0284,163.3169
26.2574,2.5107,67.6054,93.8391,160.3943
24.978,2.5297,65.8479,92.9165,157.294
23.5229,2.5454,65.093,91.9003,155.2854
22.2932,2.5521,64.7683,91.1444,154.8145
21.6069,2.5521,63.5864,90.8312,155.5825
21.3865,2.5443,61.6486,91.043,157.5641
21.458,2.5331,60.1187,91.6254,160.6956
21.6153,2.5219,59.9574,92.5064,165.8078
21.7154,2.5107,61.0297,93.6364,170.1397
21.7599,2.5017,62.0155,95.004,174.3244
21.8121,2.4939,62.3549,96.5159,178.4283
21.9416,2.4883,62.1588,98.0931,182.27
22.2024,2.4838,61.9754,99.6399,185.9842
22.5598,2.4805,62.2453,101.0289,188.4822
22.9737,2.4771,62.9306,102.1916,189.2883
23.4136,2.4738,63.8911,103.0883,189.0662
23.8922,2.4693,65.2533,103.7214,187.9382
24.4524,2.4637,67.1964,104.1022,186.0813
25.1488,2.4581,69.7942,104.323,182.9495
26.0076,2.4547,73.1279,104.4098,179.9545
27.0051,2.4536,77.3494,104.3557,176.9975
27.996,2.4559,81.6953,104.1022,174.0562
28.8211,2.4626,84.8003,103.6426,171.1539
29.3157,2.4715,85.3411,102.9633,168.2112
29.2955,2.4827,82.5377,102.0789,165.5229
28.8219,2.4939,78.1001,101.0357,164.0266
27.9892,2.5051,73.8333,99.9666,163.149
26.9563,2.514,71.2618,98.9729,162.7157
25.9142,2.5208,71.2829,98.1179,162.4906
25.0033,2.523,72.6271,97.389,161.8262
24.2597,2.5219,73.9587,96.6533,160.3624
23.644,2.5163,74.0547,95.7881,158.3882
23.0553,2.5107,71.6013,94.7134,156.045
22.3916,2.5062,66.8537,93.3829,153.5617
21.6153,2.5062,60.6174,91.8947,151.0128
20.754,2.5107,54.2631,90.3332,148.638
19.912,2.5163,49.9172,88.8011,147.5389
19.2131,2.5219,48.4854,87.438,147.0444
18.7446,2.5219,50.0374,86.3125,147.057
18.541,2.5185,53.5989,85.4597,147.4246
18.5999,2.5118,57.5768,84.8626,148.0262
18.8018,2.5051,60.7872,84.4807,148.5881
19.0667,2.5006,62.8252,84.2193,149.144
19.3384,2.4995,63.6802,84.0673,149.8149
19.5865,2.5017,63.7097,84.0819,150.6408
19.8246,2.5062,63.3734,84.4334,151.6518
20.0811,2.5107,62.8336,85.2107,153.3207
20.3948,2.5152,62.1704,86.4759,155.0231
20.8297,2.5185,61.7656,88.213,157.0447
21.4134,2.5185,62.3391,90.3321,159.3661
22.1713,2.5118,64.5342,92.5515,161.8851
23.1108,2.4995,68.373,94.6401,164.7048
24.2278,2.4838,72.993,96.3784,166.9723
25.4331,2.4648,76.8223,97.4881,168.1436
26.6376,2.4503,79.0627,97.9635,168.6241
27.7335,2.4402,79.6858,97.8407,168.5448
28.5671,2.4379,79.2219,97.2639,168.0841
29.0919,2.4413,78.6958,96.4641,167.5464
29.2829,2.4503,78.662,95.7487,167.5402
29.1651,2.4603,79.3252,95.3014,167.9419
28.7748,2.4693,80.5609,95.235,168.7122
28.2449,2.476,81.6816,95.6631,169.8421
27.6612,2.4782,82.2182,96.5091,171.4336
27.117,2.4771,81.9072,97.7213,173.3721
26.7284,2.4726,80.8592,99.1768,174.7672
26.5392,2.4648,80.0179,100.6436,175.659
26.545,2.4547,80.0822,101.8446,175.8228
26.6788,2.4424,81.0712,102.5735,175.0806
26.8041,2.4301,81.8303,102.7109,172.6062
26.7797,2.42,82.6231,102.1397,169.3191
26.5181,2.4156,81.4033,101.0256,165.9582
25.9899,2.4189,77.7258,99.4731,162.6303
25.2051,2.4279,72.8043,97.6233,159.6293
24.2984,2.4424,68.6028,95.6664,156.9088
23.3774,2.457,65.8363,93.8222,154.3805
22.5346,2.4726,64.0556,92.2169,152.4135
21.8491,2.4861,62.239,90.8954,150.4529
21.3057,2.4984,60.2284,89.8545,148.5582
20.881,2.5073,58.8968,88.9802,146.9271
20.5462,2.514,59.1867,88.2378,145.7995
20.2973,2.5185,60.8757,87.6329,145.9573
20.1215,2.523,62.3644,87.2318,146.8636
20.0214,2.5252,62.7556,87.0414,148.1935
19.9978,2.5275,62.007,87.0898,149.8005
20.0466,2.5275,61.0096,87.4019,151.5403
20.1501,2.523,60.6501,88.0643,153.7231
20.3124,2.514,61.1562,89.0523,155.5077
20.5521,2.5017,62.4066,90.331,157.1888
20.9121,2.4872,64.4836,91.7922,158.6467
